line_cd,line_name
1001,中央新幹線
1002,東海道新幹線
1004,東北新幹線
1005,上越新幹線
1006,上越新幹線(ガーラ湯沢支線)
1007,山形新幹線
1008,秋田新幹線
1009,北陸新幹線
11201,JR東北本線(八戸～青森)
11202,JR奥羽本線(新庄～青森)
11231,JR東北本線(黒磯～利府・盛岡)
11203,JR大湊線
11204,JR五能線
11205,JR津軽線
11206,JR八戸線
11207,JR岩泉線
11208,JR大船渡線
11209,JR釜石線
11210,JR北上線
11211,JR田沢湖線
11212,JR花輪線
11213,JR山田線
11214,JR羽越本線
11215,JR男鹿線
11216,JR奥羽本線(福島～新庄)
11217,JR仙山線
11218,JR左沢線
11219,JR米坂線
11220,JR陸羽西線
11221,JR陸羽東線
11222,JR仙石線
11223,JR石巻線
11224,JR気仙沼線
11225,JR磐越西線(郡山～会津若松)
11226,JR磐越西線
11227,JR只見線
11228,JR磐越東線
11229,JR常磐線(取手～いわき)
11230,JR常磐線(いわき～仙台)
11301,JR東海道本線(東京～熱海)
11302,JR山手線
11303,JR南武線
11304,JR鶴見線
11305,JR武蔵野線
11306,JR横浜線
11307,JR根岸線
11308,JR横須賀線
11309,JR相模線
11311,JR中央本線(東京～塩尻)
11312,JR中央線(快速)
11313,JR中央・総武緩行線
11314,JR総武本線
11315,JR青梅線
11316,JR五日市線
11317,JR八高線(八王子～高麗川)
11318,JR八高線(高麗川～高崎)
11319,JR宇都宮線(東北本線)
11320,JR常磐線(上野～取手)
11321,JR埼京線
11322,JR川越線
11323,JR高崎線
11324,JR外房線
11325,JR内房線
11326,JR京葉線
11327,JR成田線
11328,JR成田エクスプレス
11329,JR鹿島線
11330,JR久留里線
11331,JR東金線
11332,JR京浜東北線
11333,JR湘南新宿ライン
11343,上野東京ライン
11334,JR烏山線
11335,JR吾妻線
11337,JR信越本線
11338,JR水郡線
11339,JR水戸線
11340,JR日光線
11341,JR両毛線
11342,JR上越線
11401,JR小海線
11402,JR身延線
11403,JR信越本線(篠ノ井～長野)
11404,JR信越本線(直江津～新潟)
11406,JR白新線
11407,JR飯山線
11408,JR越後線
11409,JR大糸線
11410,JR弥彦線
11411,JR中央本線(名古屋～塩尻)
11412,JR篠ノ井線
11413,JR飯田線(豊橋～天竜峡)
11414,JR飯田線(天竜峡～辰野)
11416,JR高山本線
11501,JR東海道本線(熱海～浜松)
11502,JR東海道本線(浜松～岐阜)
11503,JR東海道本線(岐阜～美濃赤坂・米原)
11504,JR伊東線
11505,JR御殿場線
11506,JR武豊線
11507,JR太多線
11508,JR関西本線(名古屋～亀山)
11510,JR紀勢本線
11512,JR参宮線
11513,JR名松線
21001,東武東上線
21002,東武伊勢崎線
21003,東武日光線
21004,東武野田線
21005,東武亀戸線
