stationid,Gstationid,stationname,line,pref
100201,1130101,東京,1002,13
100202,1130103,品川,1002,13
100203,1130604,新横浜,1002,14
100204,1130116,小田原,1002,14
100401,1130101,東京,1004,13
100402,1130220,上野,1004,13
100403,1131906,大宮,1004,11
100501,1131906,大宮,1005,11
100502,1132316,熊谷,1005,11
100503,100503,本庄早稲田,1005,11
1130101,1130101,東京,11301,13
1130102,1130102,新橋,11301,13
1130103,1130103,品川,11301,13
1130104,1130104,川崎,11301,14
1130105,1130105,横浜,11301,14
1130106,1130106,戸塚,11301,14
1130107,1130107,大船,11301,14
1130108,1130108,藤沢,11301,14
1130109,1130109,辻堂,11301,14
1130110,1130110,茅ケ崎,11301,14
1130111,1130111,平塚,11301,14
1130112,1130112,大磯,11301,14
1130113,1130113,二宮,11301,14
1130114,1130114,国府津,11301,14
1130115,1130115,鴨宮,11301,14
1130116,1130116,小田原,11301,14
1130117,1130117,早川,11301,14
1130118,1130118,根府川,11301,14
1130119,1130119,真鶴,11301,14
1130120,1130120,湯河原,11301,14
1130201,1130201,大崎,11302,13
1130202,1130202,五反田,11302,13
1130203,1130203,目黒,11302,13
1130204,1130204,恵比寿,11302,13
1130205,1130205,渋谷,11302,13
1130206,1130206,原宿,11302,13
1130207,1130207,代々木,11302,13
1130208,1130208,新宿,11302,13
1130209,1130209,新大久保,11302,13
1130210,1130210,高田馬場,11302,13
1130211,1130211,目白,11302,13
1130212,1130212,池袋,11302,13
1130213,1130213,大塚,11302,13
1130214,1130214,巣鴨,11302,13
1130215,1130215,駒込,11302,13
1130216,1130216,田端,11302,13
1130217,1130217,西日暮里,11302,13
1130218,1130218,日暮里,11302,13
1130219,1130219,鶯谷,11302,13
1130220,1130220,上野,11302,13
1130221,1130221,御徒町,11302,13
1130222,1130222,秋葉原,11302,13
1130223,1130223,神田,11302,13
1130224,1130101,東京,11302,13
1130225,1130225,有楽町,11302,13
1130226,1130102,新橋,11302,13
1130227,1130227,浜松町,11302,13
1130228,1130228,田町,11302,13
1130229,1130230,高輪ゲートウェイ,11302,13
1130230,1130103,品川,11302,13
1130301,1130104,川崎,11303,14
1130302,1130302,尻手,11303,14
1130303,1130303,矢向,11303,14
1130304,1130304,鹿島田,11303,14
1130305,1130305,平間,11303,14
1130306,1130306,向河原,11303,14
1130307,1130307,武蔵小杉,11303,14
1130308,1130308,武蔵中原,11303,14
1130309,1130309,武蔵新城,11303,14
1130310,1130310,武蔵溝ノ口,11303,14
1130311,1130311,津田山,11303,14
1130312,1130312,久地,11303,14
1130313,1130313,宿河原,11303,14
1130314,1130314,登戸,11303,14
1130315,1130315,中野島,11303,14
1130316,1130316,稲田堤,11303,14
1130317,1130317,矢野口,11303,13
1130318,1130318,稲城長沼,11303,13
1130319,1130319,南多摩,11303,13
1130320,1130320,府中本町,11303,13
1130321,1130321,分倍河原,11303,13
1130322,1130329,西府,11303,13
1130323,1130322,谷保,11303,13
1130324,1130323,矢川,11303,13
1130325,1130324,西国立,11303,13
1130326,1130325,立川,11303,13
1130327,1130326,八丁畷,11303,14
1130328,1130327,川崎新町,11303,14
1130329,1130330,小田栄,11303,14
1130330,1130328,浜川崎,11303,14
1130401,1130401,鶴見,11304,14
1130402,1130402,国道,11304,14
1130403,1130403,鶴見小野,11304,14
1130404,1130404,弁天橋,11304,14
1130405,1130405,浅野,11304,14
1130406,1130406,新芝浦,11304,14
1130407,1130407,海芝浦,11304,14
1130408,1130408,安善,11304,14
1130409,1130409,大川,11304,14
1130410,1130410,武蔵白石,11304,14
1130411,1130328,浜川崎,11304,14
1130412,1130412,昭和,11304,14
1130413,1130413,扇町,11304,14
1130501,1130320,府中本町,11305,13
1130502,1130502,北府中,11305,13
1130503,1130503,西国分寺,11305,13
1130504,1130504,新小平,11305,13
1130505,1130505,新秋津,11305,13
1130506,1130506,東所沢,11305,11
1130507,1130507,新座,11305,11
1130508,1130508,北朝霞,11305,11
1130509,1130509,西浦和,11305,11
1130510,1130510,武蔵浦和,11305,11
1130511,1130511,南浦和,11305,11
1130512,1130512,東浦和,11305,11
1130513,1130513,東川口,11305,11
1130514,1130514,南越谷,11305,11
1130515,1130525,越谷レイクタウン,11305,11
1130516,1130515,吉川,11305,11
1130517,1130526,吉川美南,11305,11
1130518,1130516,新三郷,11305,11
1130519,1130517,三郷,11305,11
1130520,1130518,南流山,11305,12
1130521,1130519,新松戸,11305,12
1130522,1130520,新八柱,11305,12
1130523,1130521,東松戸,11305,12
1130524,1130522,市川大野,11305,12
1130525,1130523,船橋法典,11305,12
1130526,1130524,西船橋,11305,12
1130601,1130601,東神奈川,11306,14
1130602,1130602,大口,11306,14
1130603,1130603,菊名,11306,14
1130604,1130604,新横浜,11306,14
1130605,1130605,小机,11306,14
1130606,1130606,鴨居,11306,14
1130607,1130607,中山,11306,14
1130608,1130608,十日市場,11306,14
1130609,1130609,長津田,11306,14
1130610,1130610,成瀬,11306,13
1130611,1130611,町田,11306,13
1130612,1130612,古淵,11306,14
1130613,1130613,淵野辺,11306,14
1130614,1130614,矢部,11306,14
1130615,1130615,相模原,11306,14
1130616,1130616,橋本,11306,14
1130617,1130617,相原,11306,13
1130618,1130618,八王子みなみ野,11306,13
1130619,1130619,片倉,11306,13
1130620,1130620,八王子,11306,13
1130701,1130105,横浜,11307,14
1130702,1130702,桜木町,11307,14
1130703,1130703,関内,11307,14
1130704,1130704,石川町,11307,14
1130705,1130705,山手,11307,14
1130706,1130706,根岸,11307,14
1130707,1130707,磯子,11307,14
1130708,1130708,新杉田,11307,14
1130709,1130709,洋光台,11307,14
1130710,1130710,港南台,11307,14
1130711,1130711,本郷台,11307,14
1130712,1130107,大船,11307,14
1130801,1130101,東京,11308,13
1130802,1130102,新橋,11308,13
1130803,1130103,品川,11308,13
1130804,1130804,西大井,11308,13
1130805,1130307,武蔵小杉,11308,14
1130806,1130805,新川崎,11308,14
1130807,1130105,横浜,11308,14
1130808,1130807,保土ケ谷,11308,14
1130809,1130808,東戸塚,11308,14
1130810,1130106,戸塚,11308,14
1130811,1130107,大船,11308,14
1130812,1130811,北鎌倉,11308,14
1130813,1130812,鎌倉,11308,14
1130814,1130813,逗子,11308,14
1130815,1130814,東逗子,11308,14
1130816,1130815,田浦,11308,14
1130817,1130816,横須賀,11308,14
1130818,1130817,衣笠,11308,14
1130818,1130818,久里浜,11308,14
1130901,1130110,茅ケ崎,11309,14
1130902,1130902,北茅ケ崎,11309,14
1130903,1130903,香川,11309,14
1130904,1130904,寒川,11309,14
